Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
ADMIN ASSISTANT,Lee Ming Press Sdn  Bhd,"Kuching, Sarawak","RM 1,500 – RM 2,200 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76243588?type=standard&ref=search-standalone
BUSINESS DEVELOPMENT EXECUTIVE,PETER YAP & ASSOCIATES SDN BHD,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76305680?type=standard&ref=search-standalone
Admin Assistant,SYARIKAT KERIS SAKTI,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76258106?type=standard&ref=search-standalone
Clinical Product Specialist (Medical Device) Based Central,Indahaus Resources,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76305881?type=standard&ref=search-standalone
Site Supervisor,Cheng Feng Construction Sdn Bhd,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Foreperson/SupervisorsForeperson/Supervisors , Construction(Construction)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76303962?type=standard&ref=search-standalone
Executive Assistant,SINOWAJA (MALAYSIA) SDN. BHD.,"Kuching, Sarawak","RM 2,600 – RM 3,200 per month","PA, EA & SecretarialPA, EA & Secretarial , Administration & Office Support(Administration & Office Support)","Annual Bonus & Loyalty RewardsInsurance Coverage & Travelling allowanceAnnual leave, EPF / SOCSO / EIS , Public Holidays",09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76259374?type=standout&ref=search-standalone
Office Administrator,New Heart Network Agency,"Kuching, Sarawak","RM 1,800 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76272557?type=standard&ref=search-standalone
Human Resource & Admin Assistant,Specialty Food Enterprise Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76252891?type=standard&ref=search-standalone
Dental Receptionist,D dentist sdn bhd,"Kuching, Sarawak",,"ReceptionistsReceptionists , Administration & Office Support(Administration & Office Support)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76305770?type=standard&ref=search-standalone
Social Media Executive,Private Advertiser,"Kuching Division, Sarawak","RM 2,200 – RM 3,300 per month","Digital & Search MarketingDigital & Search Marketing , Marketing & Communications(Marketing & Communications)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76299878?type=standard&ref=search-standalone
Warehouse Supervisor,Private Advertiser,"Kuching, Sarawak","RM 2,800 – RM 3,500 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76300921?type=standard&ref=search-standalone
Project Management Support,Sarawak Information Systems Sdn. Bhd.,"Kuching, Sarawak",,"Programme & Project ManagementProgramme & Project Management , Information & Communication Technology(Information & Communication Technology)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76305369?type=standard&ref=search-standalone
Store Manager,Kim Hin Joo (Malaysia) Berhad - Mothercare,"Kuching, Sarawak",,"Management - StoreManagement - Store , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76265724?type=standard&ref=search-standalone
Contact Centre Support (Kuching),Sarawak Information Systems Sdn. Bhd.,"Kuching, Sarawak",,"Customer Service - Call CentreCustomer Service - Call Centre , Call Centre & Customer Service(Call Centre & Customer Service)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76306081?type=standard&ref=search-standalone
"English and Maths Teacher (Full Time/Part Time) - Kumon Jalan Song, Kuching",Kumon Centre,"Kuching, Sarawak",,"OtherOther , Administration & Office Support(Administration & Office Support)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76281790?type=standout&ref=search-standalone
Product Trainer,Private Advertiser,"Kuching, Sarawak","RM 2,700 – RM 3,500 per month","Market Research & AnalysisMarket Research & Analysis , Marketing & Communications(Marketing & Communications)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76299812?type=standard&ref=search-standalone
Sales Executive,Permai Rainforest Resort,"Kuching, Sarawak",,"OtherOther , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76301877?type=standard&ref=search-standalone
General clerk,TTK Diamond Marketing Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76305501?type=standard&ref=search-standalone
Site Supervisor,Ho Bee Contractor & Engineering,"Kuching, Sarawak","RM 2,500 – RM 3,750 per month","Foreperson/SupervisorsForeperson/Supervisors , Construction(Construction)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76300621?type=standard&ref=search-standalone
RETAIL COORDINATOR,Gaya Sports Sdn Bhd,"Kuching, Sarawak","RM 1,500 – RM 2,000 per month","Management - StoreManagement - Store , Retail & Consumer Products(Retail & Consumer Products)",Career GrowthIncentivesCommission,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76245612?type=standout&ref=search-standalone
Lorry Driver,SYARIKAT KERIS SAKTI,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Couriers, Drivers & Postal ServicesCouriers, Drivers & Postal Services , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,6d ago,Jobstreet,https://www.jobstreet.com.my/job/76324486?type=standard&ref=search-standalone
Retails Supervisor,21 BEYOND SDN. BHD.,"Kuching, Sarawak",,"Management - StoreManagement - Store , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76305624?type=standard&ref=search-standalone
Project Manager,Sarawak Information Systems Sdn. Bhd.,"Kuching, Sarawak",,"Programme & Project ManagementProgramme & Project Management , Information & Communication Technology(Information & Communication Technology)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76305546?type=standard&ref=search-standalone
Civil & Structural Coordinator,MULTI CONSTRUCTION SDN BHD,"Kuching, Sarawak",,"Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76286636?type=standard&ref=search-standalone
ACCOUNT EXECUTIVE,CERGAS NOBLE SDN. BHD.,"Kuching, Sarawak","RM 2,000 – RM 2,999 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76250196?type=standard&ref=search-standalone
SPECIALIST (KUCHING),Dai Lieng Machinery Sdn Bhd,"Kuching, Sarawak",,"Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76306175?type=standard&ref=search-standalone
Marketing and Sales Executive,MUDAJAYA CORPORATION BERHAD,"Kuching, Sarawak",,"Marketing CommunicationsMarketing Communications , Marketing & Communications(Marketing & Communications)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76281895?type=standout&ref=search-standalone
masseur spa,Mang Ting Xing Reflexology Centre Kuching,"Kuching, Sarawak",,"Hair & Beauty ServicesHair & Beauty Services , Trades & Services(Trades & Services)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76306480?type=standard&ref=search-standalone
Content Moderator- Work from Home,Teleperformance Malaysia Sdn Bhd,"Kuching, Sarawak",,"Customer Service - Call CentreCustomer Service - Call Centre , Call Centre & Customer Service(Call Centre & Customer Service)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76290741?type=standard&ref=search-standalone
Sales Supervisor,Private Advertiser,"Kuching, Sarawak","RM 3,000 – RM 4,500 per month","Management - Department/AssistantManagement - Department/Assistant , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76300013?type=standard&ref=search-standalone
City Manager (English Speaking),AIST Malaysia Sdn Bhd.,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76305816?type=standard&ref=search-standalone
Site Supervisor,Cheng Feng Construction Sdn Bhd,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Foreperson/SupervisorsForeperson/Supervisors , Construction(Construction)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76303962?type=standard&ref=search-standalone
"LECTURER / PROGRAMME COORDINATOR, DIPLOMA OCCUPATIONAL, SAFETY AND HEALTH",CYBERJAYA COLLEGE KUCHING,"Kuching, Sarawak",,"Teaching - TertiaryTeaching - Tertiary , Education & Training(Education & Training)",,09-06-2024,17d ago,Jobstreet,https://www.jobstreet.com.my/job/76075122?type=standout&ref=search-standalone
Nutritionist (LAC Retail Outlet),LAC GLOBAL BRANDS (MALAYSIA) SDN BHD,"Kuching, Sarawak","RM 2,500 – RM 3,500 per month","DieticiansDieticians , Healthcare & Medical(Healthcare & Medical)","Paying higher than average market rate, yearly & quarterly bonusFixed & variable commission,medical&dental treatment,insurance&etc.Health & nutrition training, career growth opportunities",09-06-2024,17d ago,Jobstreet,https://www.jobstreet.com.my/job/76079068?type=standout&ref=search-standalone
Office Administrator,New Heart Network Agency,"Kuching, Sarawak","RM 1,800 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76272557?type=standard&ref=search-standalone
Human Resource & Admin Assistant,Specialty Food Enterprise Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76252891?type=standard&ref=search-standalone
Account Assistant/ Account Executive,L&C GLOBALNIAGA SDN. BHD.,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,18d ago,Jobstreet,https://www.jobstreet.com.my/job/76066705?type=standard&ref=search-standalone
Deposit Director Sarawak,Affin Bank Berhad,"Kuching, Sarawak",,"ManagementManagement , Banking & Financial Services(Banking & Financial Services)",,09-06-2024,18d ago,Jobstreet,https://www.jobstreet.com.my/job/76053931?type=standard&ref=search-standalone
Assistant Sales Manager - Digital Marketing,SCW ELITE SDN. BHD.,"Kuching, Sarawak",,"Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,17d ago,Jobstreet,https://www.jobstreet.com.my/job/76091193?type=standard&ref=search-standalone
Social Media Executive,Private Advertiser,"Kuching Division, Sarawak","RM 2,200 – RM 3,300 per month","Digital & Search MarketingDigital & Search Marketing , Marketing & Communications(Marketing & Communications)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76299878?type=standard&ref=search-standalone
Retail Sales Associates,Best Denki Malaysia Sdn Bhd (Electrical Shop),"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Retail AssistantsRetail Assistants , Retail & Consumer Products(Retail & Consumer Products)",Attractive Commissions & BenefitsJoining Allowance RM300.00 for first 2 months of serviceYearly Performance Bonus & Salary Increment,09-06-2024,17d ago,Jobstreet,https://www.jobstreet.com.my/job/76094832?type=standout&ref=search-standalone
Warehouse Supervisor,Private Advertiser,"Kuching, Sarawak","RM 2,800 – RM 3,500 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76300921?type=standard&ref=search-standalone
Store Manager,Kim Hin Joo (Malaysia) Berhad - Mothercare,"Kuching, Sarawak",,"Management - StoreManagement - Store , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76265724?type=standard&ref=search-standalone
Senior Accounts Executive (Chinese Speaking),KWANG TAI AIR-COND & REFRIGERATION EQUIPMENT SDN BHD,"Kuching, Sarawak","RM 4,000 – RM 5,000 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",Attractive yearly bonus and salary incrementCareer advancementEnjoy a healthy work-life balance and working environment,09-06-2024,17d ago,Jobstreet,https://www.jobstreet.com.my/job/76077216?type=standout&ref=search-standalone
Admin Executive (Chinese Speaking),KWANG TAI AIR-COND & REFRIGERATION EQUIPMENT SDN BHD,"Kuching, Sarawak","RM 2,000 – RM 2,200 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)","Leaves (Annual, Sick, etc.)Positive working environmentEPF, SOCSO, EIS",09-06-2024,17d ago,Jobstreet,https://www.jobstreet.com.my/job/76077320?type=standout&ref=search-standalone
Sales Executive,Permai Rainforest Resort,"Kuching, Sarawak",,"OtherOther , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76301877?type=standard&ref=search-standalone
Architects Part I & Part II,INTO DESIGN LABORATORY,"Kuching, Sarawak","RM 3,000 – RM 4,500 per month","ArchitectureArchitecture , Design & Architecture(Design & Architecture)",,09-06-2024,18d ago,Jobstreet,https://www.jobstreet.com.my/job/76057305?type=standard&ref=search-standalone
"Collection Officer (Contract) - Kuching, Sarawak",Toyota Capital Malaysia Sdn. Bhd.,"Kuching, Sarawak",,"CollectionsCollections , Call Centre & Customer Service(Call Centre & Customer Service)",,09-06-2024,19d ago,Jobstreet,https://www.jobstreet.com.my/job/76038566?type=standard&ref=search-standalone
Site Supervisor,Ho Bee Contractor & Engineering,"Kuching, Sarawak","RM 2,500 – RM 3,750 per month","Foreperson/SupervisorsForeperson/Supervisors , Construction(Construction)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76300621?type=standard&ref=search-standalone
"Sales Consultant, Auto Finance",Affin Bank Berhad,"Kuching, Sarawak",,"Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,18d ago,Jobstreet,https://www.jobstreet.com.my/job/76054435?type=standard&ref=search-standalone
Lorry Driver,SYARIKAT KERIS SAKTI,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Couriers, Drivers & Postal ServicesCouriers, Drivers & Postal Services , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,6d ago,Jobstreet,https://www.jobstreet.com.my/job/76324486?type=standard&ref=search-standalone
Graduate Trainee (Kuching),Omniraise Sdn Bhd,"Kuching, Sarawak","RM 2,400 – RM 3,200 per month","OtherOther , Sales(Sales)","Working alongside globally recognized organizationsYoung, supportive, working environment & cultureAttractive sales commission",09-06-2024,19d ago,Jobstreet,https://www.jobstreet.com.my/job/76036842?type=standout&ref=search-standalone
SALES EXECUTIVE,Tai Sin Electric Cables (M) Sdn Bhd,"Kuching, Sarawak","RM 3,000 – RM 4,300 per month","Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,18d ago,Jobstreet,https://www.jobstreet.com.my/job/76066267?type=standard&ref=search-standalone
Dermatology and Aesthetic Nurse,The Corner Clinic,"Kuching, Sarawak","RM 1,600 – RM 2,400 per month","General PractitionersGeneral Practitioners , Healthcare & Medical(Healthcare & Medical)",,09-06-2024,18d ago,Jobstreet,https://www.jobstreet.com.my/job/75370163?type=standard&ref=search-standalone
Civil & Structural Coordinator,MULTI CONSTRUCTION SDN BHD,"Kuching, Sarawak",,"Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76286636?type=standard&ref=search-standalone
PERSONAL ASISTANT,FUNTECH SOLUTIONS SDN BHD,"Kuching, Sarawak","RM 6,000 – RM 8,000 per month","PA, EA & SecretarialPA, EA & Secretarial , Administration & Office Support(Administration & Office Support)",,09-06-2024,19d ago,Jobstreet,https://www.jobstreet.com.my/job/76040235?type=standard&ref=search-standalone
ACCOUNT EXECUTIVE,CERGAS NOBLE SDN. BHD.,"Kuching, Sarawak","RM 2,000 – RM 2,999 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76250196?type=standard&ref=search-standalone
Secretary Admin,Clerra Resources Sdn Bhd,"Kuching, Sarawak",,"PA, EA & SecretarialPA, EA & Secretarial , Administration & Office Support(Administration & Office Support)",,09-06-2024,20d ago,Jobstreet,https://www.jobstreet.com.my/job/76013396?type=standard&ref=search-standalone
Sales Supervisor,Private Advertiser,"Kuching, Sarawak","RM 3,000 – RM 4,500 per month","Management - Department/AssistantManagement - Department/Assistant , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76300013?type=standard&ref=search-standalone
HUMAN RESOURCE MANAGER,Everrise Departmental Store Sdn Bhd,"Kuching, Sarawak",,"Consulting & Generalist HRConsulting & Generalist HR , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,19d ago,Jobstreet,https://www.jobstreet.com.my/job/76026617?type=standout&ref=search-standalone
Sales Support Executive (Chemistry Supplies and Lab Equipments),East-Bio Systems Sdn Bhd,"Kuching, Sarawak",,"OtherOther , Science & Technology(Science & Technology)",,09-06-2024,19d ago,Jobstreet,https://www.jobstreet.com.my/job/76015010?type=standard&ref=search-standalone
Admin Clerk,QL Livestock Farming Sdn Bhd,"Serian, Sarawak","RM 1,500 – RM 1,700 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76429270?type=standard&ref=search-standalone
Admin & Purchasing Officer,Private Advertiser,"Kuching, Sarawak","RM 1,800 – RM 2,300 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,11d ago,Jobstreet,https://www.jobstreet.com.my/job/76228331?type=standard&ref=search-standalone
Human Resource,New Heart Network Agency,"Kuching, Sarawak","RM 1,800 per month","Consulting & Generalist HRConsulting & Generalist HR , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76272450?type=standard&ref=search-standalone
Architect,T.L Cheu Architect,"Kuching, Sarawak",,"ArchitectureArchitecture , Design & Architecture(Design & Architecture)",Guarantee Salary Increment / BonusFlexible Working Hours / MethodDirect Guidance from Principal / Senior,09-06-2024,20d ago,Jobstreet,https://www.jobstreet.com.my/job/75906010?type=standout&ref=search-standalone
Marketing Executive,KARUNA (SARAWAK) ENTERPRISE SDN. BHD.,"Kuching, Sarawak","RM 2,333 – RM 3,500 per month","Digital & Search MarketingDigital & Search Marketing , Marketing & Communications(Marketing & Communications)",We’re not just web designers; we offer much more to cover our digital bases.We emphasize user experience in all our digital strategies.We emphasize team work and positive work culture and environment.,09-06-2024,21d ago,Jobstreet,https://www.jobstreet.com.my/job/75985149?type=standout&ref=search-standalone
Procurement Executive,Permai Rainforest Resort,"Kuching, Sarawak",,"OtherOther , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76247639?type=standard&ref=search-standalone
Application Developer,LICENTOKIL (M) SDN BHD,"Kuching Division, Sarawak",,"Developers/ProgrammersDevelopers/Programmers , Information & Communication Technology(Information & Communication Technology)",,09-06-2024,20d ago,Jobstreet,https://www.jobstreet.com.my/job/76003873?type=standard&ref=search-standalone
Production Office Clerk,Specialty Food Enterprise Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76253822?type=standard&ref=search-standalone
Admin Executive,Bintang Emas Utama Sdn Bhd,"Kuching, Sarawak","RM 2,000 – RM 2,500 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,22d ago,Jobstreet,https://www.jobstreet.com.my/job/75978897?type=standard&ref=search-standalone
Marketing Manager,KARUNA (SARAWAK) ENTERPRISE SDN. BHD.,"Kuching, Sarawak","RM 4,000 – RM 5,500 per month","Digital & Search MarketingDigital & Search Marketing , Marketing & Communications(Marketing & Communications)",We’re not just web designers; we offer much more to cover our digital bases.We emphasize team work and positive work culture and environment.,09-06-2024,21d ago,Jobstreet,https://www.jobstreet.com.my/job/75985165?type=standout&ref=search-standalone
Internship for Admin/Business Students (Kuching),ELEBEST ENGINEERING SDN. BHD.,"Kuching, Sarawak",RM 600 per month,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,11d ago,Jobstreet,https://www.jobstreet.com.my/job/76231599?type=standard&ref=search-standalone
SALES CONSULTANT,LICENTOKIL (M) SDN BHD,"Kuching, Sarawak","RM 2,500 – RM 2,800 per month","Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",,09-06-2024,20d ago,Jobstreet,https://www.jobstreet.com.my/job/76003973?type=standard&ref=search-standalone
Accounts & Administration Assistant,KIM MING FROZEN FOOD SDN BHD,"Kuching, Sarawak","RM 1,800 – RM 2,700 per month","Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,22d ago,Jobstreet,https://www.jobstreet.com.my/job/75734575?type=standard&ref=search-standalone
Graphic Designer,Private Advertiser,"Kuching, Sarawak","RM 2,200 – RM 3,300 per month","Graphic DesignGraphic Design , Design & Architecture(Design & Architecture)",,09-06-2024,8d ago,Jobstreet,https://www.jobstreet.com.my/job/76299909?type=standard&ref=search-standalone
Account Executive,Private Advertiser,"Kuching, Sarawak",,"Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,22d ago,Jobstreet,https://www.jobstreet.com.my/job/75978236?type=standard&ref=search-standalone
Principal (International School),Private Advertiser,"Kuching, Sarawak",,"Management - SchoolsManagement - Schools , Education & Training(Education & Training)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76272419?type=standard&ref=search-standalone
Project Engineer,KT Dynamic Sdn Bhd,"Kuching, Sarawak",,"Environmental EngineeringEnvironmental Engineering , Engineering(Engineering)",Excellent working cultureGreat career potentialWork-life balance,09-06-2024,23d ago,Jobstreet,https://www.jobstreet.com.my/job/75960740?type=standout&ref=search-standalone
Account Executive,TRINTEL (M) SDN. BHD.,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,23d ago,Jobstreet,https://www.jobstreet.com.my/job/75960485?type=standout&ref=search-standalone
"Assistant Manager, Field Sales (Kuching - Consumer Goods)",DKSH Malaysia Sdn Bhd,"Kuching, Sarawak","RM 5,000 – RM 6,500 per month","Management - Area/Multi-siteManagement - Area/Multi-site , Retail & Consumer Products(Retail & Consumer Products)",Career AdvancementAttractive Employee BenefitsCertified as Great Place To Work,09-06-2024,23d ago,Jobstreet,https://www.jobstreet.com.my/job/75425037?type=standout&ref=search-standalone
Sale Assistant,SYARIKAT KERIS SAKTI,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Retail AssistantsRetail Assistants , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76258165?type=standard&ref=search-standalone
Draughtsperson,Private Advertiser,"Kuching, Sarawak",,"Engineering DraftingEngineering Drafting , Engineering(Engineering)",,09-06-2024,22d ago,Jobstreet,https://www.jobstreet.com.my/job/75979308?type=standard&ref=search-standalone
Project Coordinator,JURUTERA PERUNDING LYN SDN. BHD.,"Kuching, Sarawak",,"Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76253682?type=standard&ref=search-standalone
Site Supervisor,Private Advertiser,"Kuching, Sarawak",,"Foreperson/SupervisorsForeperson/Supervisors , Construction(Construction)",,09-06-2024,22d ago,Jobstreet,https://www.jobstreet.com.my/job/75979371?type=standard&ref=search-standalone
Admin & Account Assistant,Ion Home Resources Sdn Bhd,"Kuching, Sarawak","RM 1,800 – RM 2,000 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75932878?type=standard&ref=search-standalone
Sales Manager,KARUNA (SARAWAK) ENTERPRISE SDN. BHD.,"Kuching, Sarawak","RM 4,000 – RM 5,500 per month","ManagementManagement , Sales(Sales)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76265333?type=standard&ref=search-standalone
Post-Basic Renal Nurse,NEFRO BAKTI SDN. BHD.,"Siburan, Sarawak","RM 3,200 – RM 3,500 per month","Nursing - General Medical & SurgicalNursing - General Medical & Surgical , Healthcare & Medical(Healthcare & Medical)","Competitive benefits & salary, training opportunities5C's rule: Communication; Camaraderie; Commitment; Confidence; CoachabilityTeamwork, trust, respect",09-06-2024,19d ago,Jobstreet,https://www.jobstreet.com.my/job/75983769?type=standout&ref=search-standalone
Events Coordinator,Sarawak Club,"Kuching, Sarawak","RM 2,500 – RM 3,600 per month","Event ManagementEvent Management , Marketing & Communications(Marketing & Communications)",Prestigious Work EnvironmentCreative and Dynamic RoleSkills Development,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75915623?type=standout&ref=search-standalone
Veterinarian (Animal Health),HH Capacity Sdn Bhd,"Kuching Division, Sarawak",,"Veterinary Services & Animal WelfareVeterinary Services & Animal Welfare , Farming, Animals & Conservation(Farming, Animals & Conservation)",Opportunities to promotionProfessional Development,09-06-2024,23d ago,Jobstreet,https://www.jobstreet.com.my/job/75957913?type=standout&ref=search-standalone
Human resources Executive,KUEK & KUEH PACKAGING INDUSTRIES SDN. BHD.,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Consulting & Generalist HRConsulting & Generalist HR , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,11d ago,Jobstreet,https://www.jobstreet.com.my/job/76211940?type=standard&ref=search-standalone
Internship (warehouse operations),MS Supply Chain Solutions (M) Sdn Bhd,"Kuching, Sarawak","RM 800 – RM 1,000 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,25d ago,Jobstreet,https://www.jobstreet.com.my/job/75864845?type=standard&ref=search-standalone
Construction Executive,Design Edge Sdn. Bhd.,"Kuching, Sarawak","RM 2,000 – RM 2,600 per month","Project ManagementProject Management , Construction(Construction)",Providing you with experiences that’ll help advance your career to higher level.We’re offering performance-based bonus.Flexibility on working hours.,09-06-2024,24d ago,Jobstreet,https://www.jobstreet.com.my/job/75913490?type=standout&ref=search-standalone
