Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
Facility Engineer,LOTTE EM MALAYSIA SDN BHD,"Kuching, Sarawak",,"Body Corporate & Facilities ManagementBody Corporate & Facilities Management , Real Estate & Property(Real Estate & Property)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76371362?type=standout&ref=search-standalone
Sales Admin Executive,Weida Resources (Sarawak) Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76429764?type=standout&ref=search-standalone
Internship,QL Livestock Farming Sdn Bhd,"Kuching, Sarawak",,"Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76429454?type=standard&ref=search-standalone
Account HR Assistant,Private Advertiser,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76429274?type=standard&ref=search-standalone
"LECTURER, HEALTHCARE / BUSINESS",CYBERJAYA COLLEGE KUCHING,"Kuching, Sarawak",,"Teaching - TertiaryTeaching - Tertiary , Education & Training(Education & Training)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76435278?type=standout&ref=search-standalone
Account Executive,Specialty Food Enterprise Sdn Bhd,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76431251?type=standard&ref=search-standalone
"Representative, Sales",FFM Marketing Sdn Bhd(180433-A),"Kuching, Sarawak",,"Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",Staff purchaseSOCSO,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76370803?type=standout&ref=search-standalone
Account Assistant/Account Executive,Weida Integrated Industries Sdn Bhd,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76405437?type=standout&ref=search-standalone
Accounts Executive,MUDAJAYA CORPORATION BERHAD,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/75834065?type=standout&ref=search-standalone
Draftsman,SYARIKAT KERIS SAKTI,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Architectural DraftingArchitectural Drafting , Design & Architecture(Design & Architecture)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76460810?type=standard&ref=search-standalone
Design Engineer,Jurutera Jasa (Sarawak) Sdn. Bhd.,"Kuching, Sarawak",,"Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76432357?type=standout&ref=search-standalone
Account Executive,QL Livestock Farming Sdn Bhd,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76429182?type=standard&ref=search-standalone
ACCOUNT EXECUTIVE,SERAPI CUISINE SDN BHD,"Kuching, Sarawak","RM 2,500 – RM 3,000 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76432316?type=standard&ref=search-standalone
CLINICAL INSTRUCTOR,CYBERJAYA COLLEGE KUCHING,"Kuching, Sarawak",,"Nursing - Educators & FacilitatorsNursing - Educators & Facilitators , Healthcare & Medical(Healthcare & Medical)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76435186?type=standout&ref=search-standalone
ACCOUNT ASSISTANT,KEE HUA,"Kuching, Sarawak","RM 1,800 – RM 2,500 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76459784?type=standard&ref=search-standalone
"English and Maths Teacher (Full Time/Part Time) - Kumon Jalan Song, Kuching",Kumon Centre,"Kuching, Sarawak",,"OtherOther , Administration & Office Support(Administration & Office Support)",,09-06-2024,9d ago,Jobstreet,https://www.jobstreet.com.my/job/76281790?type=standout&ref=search-standalone
RETAIL COORDINATOR,Gaya Sports Sdn Bhd,"Kuching, Sarawak","RM 1,500 – RM 2,000 per month","Management - StoreManagement - Store , Retail & Consumer Products(Retail & Consumer Products)",Career GrowthIncentivesCommission,09-06-2024,10d ago,Jobstreet,https://www.jobstreet.com.my/job/76245612?type=standout&ref=search-standalone
Store Keeper,Private Advertiser,"Bintangor, Sarawak","RM 1,800 – RM 2,500 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,10h ago,Jobstreet,https://www.jobstreet.com.my/job/76467833?type=standard&ref=search-standalone
MARKETING EXECUTIVE,RHINO MOTORS SDN. BHD.,"Kuching, Sarawak",,"Digital & Search MarketingDigital & Search Marketing , Marketing & Communications(Marketing & Communications)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76403267?type=standard&ref=search-standalone
Safety Health Officer,XD POWER TRANSMISSION (M) SDN. BHD.,"Kuching, Sarawak","RM 7,000 – RM 8,500 per month","Health, Safety & EnvironmentHealth, Safety & Environment , Construction(Construction)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76386522?type=standout&ref=search-standalone
Project Manager,IBRACO BERHAD,"Kuching Division, Sarawak",,"Project ManagementProject Management , Construction(Construction)",Outpatient Medical TreatmentDental TreatmentOpthalmology Treatment,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76440921?type=standout&ref=search-standalone
Warehouse Supervisor,Private Advertiser,"Bintangor, Sarawak","RM 3,000 – RM 4,000 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,10h ago,Jobstreet,https://www.jobstreet.com.my/job/76467811?type=standard&ref=search-standalone
